id,phrase,meaning,category,level,example
501,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'flex'!"
502,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,초급,"I heard that and I was like, 'hard launch'!"
503,shook,shook 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'shook'!"
504,receipts,receipts 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'receipts'!"
505,sus,sus 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'sus'!"
506,we move,we move 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,초급,"I heard that and I was like, 'we move'!"
507,woke,woke 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'woke'!"
508,cap,cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,중급,"I heard that and I was like, 'cap'!"
509,extra,extra 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,중급,"I heard that and I was like, 'extra'!"
510,on point,on point 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'on point'!"
511,savage,savage 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,고급,"I heard that and I was like, 'savage'!"
512,drag someone,drag someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,중급,"I heard that and I was like, 'drag someone'!"
513,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'no cap'!"
514,thirst trap,thirst trap 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'thirst trap'!"
515,hit different,hit different 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,고급,"I heard that and I was like, 'hit different'!"
516,catch feels,catch feels 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'catch feels'!"
517,on point,on point 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,초급,"I heard that and I was like, 'on point'!"
518,slaps,slaps 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,고급,"I heard that and I was like, 'slaps'!"
519,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'no cap'!"
520,fire,fire 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,중급,"I heard that and I was like, 'fire'!"
521,soft launch,soft launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'soft launch'!"
522,shook,shook 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'shook'!"
523,stan,stan 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'stan'!"
524,lowkey,lowkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'lowkey'!"
525,throw shade,throw shade 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'throw shade'!"
526,drag someone,drag someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'drag someone'!"
527,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,초급,"I heard that and I was like, 'no cap'!"
528,fire,fire 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,초급,"I heard that and I was like, 'fire'!"
529,vibe check,vibe check 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,중급,"I heard that and I was like, 'vibe check'!"
530,cheugy,cheugy 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,중급,"I heard that and I was like, 'cheugy'!"
531,extra,extra 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,초급,"I heard that and I was like, 'extra'!"
532,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,고급,"I heard that and I was like, 'hard launch'!"
533,receipts,receipts 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'receipts'!"
534,curve someone,curve someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'curve someone'!"
535,main character,main character 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'main character'!"
536,that’s wild,that’s wild 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'that’s wild'!"
537,we move,we move 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,고급,"I heard that and I was like, 'we move'!"
538,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,고급,"I heard that and I was like, 'no cap'!"
539,dead,dead 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'dead'!"
540,in my bag,in my bag 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'in my bag'!"
541,snatched,snatched 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'snatched'!"
542,that’s wild,that’s wild 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'that’s wild'!"
543,clap back,clap back 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,중급,"I heard that and I was like, 'clap back'!"
544,stan,stan 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'stan'!"
545,bet,bet 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'bet'!"
546,woke,woke 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'woke'!"
547,shook,shook 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'shook'!"
548,bench someone,bench someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,중급,"I heard that and I was like, 'bench someone'!"
549,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,초급,"I heard that and I was like, 'spill the tea'!"
550,catch feels,catch feels 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'catch feels'!"
551,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,초급,"I heard that and I was like, 'hard launch'!"
552,read someone,read someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'read someone'!"
553,curve someone,curve someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'curve someone'!"
554,lowkey,lowkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,중급,"I heard that and I was like, 'lowkey'!"
555,dead,dead 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'dead'!"
556,shook,shook 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,초급,"I heard that and I was like, 'shook'!"
557,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'no cap'!"
558,throw shade,throw shade 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'throw shade'!"
559,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,초급,"I heard that and I was like, 'hard launch'!"
560,snatched,snatched 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,고급,"I heard that and I was like, 'snatched'!"
561,bet,bet 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'bet'!"
562,sus,sus 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'sus'!"
563,vibe check,vibe check 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'vibe check'!"
564,drag someone,drag someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,고급,"I heard that and I was like, 'drag someone'!"
565,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'no cap'!"
566,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'spill the tea'!"
567,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,중급,"I heard that and I was like, 'no cap'!"
568,bet,bet 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,중급,"I heard that and I was like, 'bet'!"
569,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'highkey'!"
570,vibe check,vibe check 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'vibe check'!"
571,ghost someone,ghost someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,고급,"I heard that and I was like, 'ghost someone'!"
572,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'hard launch'!"
573,cheugy,cheugy 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,중급,"I heard that and I was like, 'cheugy'!"
574,in my bag,in my bag 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'in my bag'!"
575,on point,on point 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,초급,"I heard that and I was like, 'on point'!"
576,main character,main character 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'main character'!"
577,read someone,read someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,고급,"I heard that and I was like, 'read someone'!"
578,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'flex'!"
579,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,고급,"I heard that and I was like, 'hard launch'!"
580,it’s giving,it’s giving 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,중급,"I heard that and I was like, 'it’s giving'!"
581,it’s giving,it’s giving 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,중급,"I heard that and I was like, 'it’s giving'!"
582,vibe check,vibe check 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,중급,"I heard that and I was like, 'vibe check'!"
583,cheugy,cheugy 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'cheugy'!"
584,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'hard launch'!"
585,salty,salty 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,고급,"I heard that and I was like, 'salty'!"
586,cheugy,cheugy 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'cheugy'!"
587,stan,stan 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,중급,"I heard that and I was like, 'stan'!"
588,cheugy,cheugy 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,중급,"I heard that and I was like, 'cheugy'!"
589,slaps,slaps 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'slaps'!"
590,drag someone,drag someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'drag someone'!"
591,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,중급,"I heard that and I was like, 'spill the tea'!"
592,thirst trap,thirst trap 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'thirst trap'!"
593,big yikes,big yikes 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'big yikes'!"
594,get roasted,get roasted 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'get roasted'!"
595,soft launch,soft launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'soft launch'!"
596,that’s wild,that’s wild 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,고급,"I heard that and I was like, 'that’s wild'!"
597,snatched,snatched 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'snatched'!"
598,cheugy,cheugy 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,중급,"I heard that and I was like, 'cheugy'!"
599,in my bag,in my bag 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'in my bag'!"
600,on point,on point 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'on point'!"
601,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'highkey'!"
602,drag someone,drag someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'drag someone'!"
603,snatched,snatched 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'snatched'!"
604,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'flex'!"
605,catch feels,catch feels 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'catch feels'!"
606,cheugy,cheugy 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'cheugy'!"
607,woke,woke 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,고급,"I heard that and I was like, 'woke'!"
608,savage,savage 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'savage'!"
609,cap,cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'cap'!"
610,lowkey,lowkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,중급,"I heard that and I was like, 'lowkey'!"
611,it’s giving,it’s giving 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'it’s giving'!"
612,thirst trap,thirst trap 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,중급,"I heard that and I was like, 'thirst trap'!"
613,clap back,clap back 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'clap back'!"
614,stan,stan 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,고급,"I heard that and I was like, 'stan'!"
615,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'hard launch'!"
616,throw shade,throw shade 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'throw shade'!"
617,dead,dead 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,고급,"I heard that and I was like, 'dead'!"
618,read someone,read someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'read someone'!"
619,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,중급,"I heard that and I was like, 'spill the tea'!"
620,vibe check,vibe check 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'vibe check'!"
621,woke,woke 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'woke'!"
622,fire,fire 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,초급,"I heard that and I was like, 'fire'!"
623,simp,simp 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,중급,"I heard that and I was like, 'simp'!"
624,deep cut,deep cut 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,초급,"I heard that and I was like, 'deep cut'!"
625,cap,cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'cap'!"
626,extra,extra 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,중급,"I heard that and I was like, 'extra'!"
627,savage,savage 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'savage'!"
628,read someone,read someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'read someone'!"
629,sus,sus 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'sus'!"
630,drag someone,drag someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,초급,"I heard that and I was like, 'drag someone'!"
631,main character,main character 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'main character'!"
632,stan,stan 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,초급,"I heard that and I was like, 'stan'!"
633,read someone,read someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'read someone'!"
634,main character,main character 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'main character'!"
635,soft launch,soft launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,중급,"I heard that and I was like, 'soft launch'!"
636,curve someone,curve someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,초급,"I heard that and I was like, 'curve someone'!"
637,catch feels,catch feels 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'catch feels'!"
638,it’s giving,it’s giving 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'it’s giving'!"
639,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,중급,"I heard that and I was like, 'highkey'!"
640,slaps,slaps 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'slaps'!"
641,on point,on point 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,고급,"I heard that and I was like, 'on point'!"
642,deep cut,deep cut 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,중급,"I heard that and I was like, 'deep cut'!"
643,dead,dead 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'dead'!"
644,big yikes,big yikes 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'big yikes'!"
645,lowkey,lowkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,초급,"I heard that and I was like, 'lowkey'!"
646,bet,bet 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'bet'!"
647,soft launch,soft launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,고급,"I heard that and I was like, 'soft launch'!"
648,savage,savage 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'savage'!"
649,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,초급,"I heard that and I was like, 'highkey'!"
650,sus,sus 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,중급,"I heard that and I was like, 'sus'!"
651,on point,on point 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,고급,"I heard that and I was like, 'on point'!"
652,on point,on point 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,초급,"I heard that and I was like, 'on point'!"
653,stan,stan 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'stan'!"
654,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'no cap'!"
655,in my bag,in my bag 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'in my bag'!"
656,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'flex'!"
657,big yikes,big yikes 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,고급,"I heard that and I was like, 'big yikes'!"
658,main character,main character 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'main character'!"
659,vibe check,vibe check 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'vibe check'!"
660,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'spill the tea'!"
661,on point,on point 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,고급,"I heard that and I was like, 'on point'!"
662,dead,dead 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,고급,"I heard that and I was like, 'dead'!"
663,main character,main character 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,초급,"I heard that and I was like, 'main character'!"
664,lowkey,lowkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'lowkey'!"
665,dead,dead 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,초급,"I heard that and I was like, 'dead'!"
666,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'spill the tea'!"
667,curve someone,curve someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,초급,"I heard that and I was like, 'curve someone'!"
668,slaps,slaps 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'slaps'!"
669,ghost someone,ghost someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'ghost someone'!"
670,soft launch,soft launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,초급,"I heard that and I was like, 'soft launch'!"
671,lowkey,lowkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'lowkey'!"
672,it’s giving,it’s giving 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,초급,"I heard that and I was like, 'it’s giving'!"
673,drag someone,drag someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,고급,"I heard that and I was like, 'drag someone'!"
674,read someone,read someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'read someone'!"
675,extra,extra 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'extra'!"
676,cheugy,cheugy 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'cheugy'!"
677,hit different,hit different 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'hit different'!"
678,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'no cap'!"
679,get roasted,get roasted 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'get roasted'!"
680,drag someone,drag someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,중급,"I heard that and I was like, 'drag someone'!"
681,sus,sus 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'sus'!"
682,drag someone,drag someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'drag someone'!"
683,cheugy,cheugy 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'cheugy'!"
684,vibe check,vibe check 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'vibe check'!"
685,main character,main character 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'main character'!"
686,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'no cap'!"
687,dead,dead 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'dead'!"
688,periodt,periodt 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'periodt'!"
689,deep cut,deep cut 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'deep cut'!"
690,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'flex'!"
691,that’s wild,that’s wild 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,초급,"I heard that and I was like, 'that’s wild'!"
692,simp,simp 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,중급,"I heard that and I was like, 'simp'!"
693,periodt,periodt 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,초급,"I heard that and I was like, 'periodt'!"
694,hit different,hit different 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,중급,"I heard that and I was like, 'hit different'!"
695,ghost someone,ghost someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,초급,"I heard that and I was like, 'ghost someone'!"
696,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'flex'!"
697,in my bag,in my bag 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'in my bag'!"
698,savage,savage 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,초급,"I heard that and I was like, 'savage'!"
699,throw shade,throw shade 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'throw shade'!"
700,throw shade,throw shade 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'throw shade'!"
701,get roasted,get roasted 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'get roasted'!"
702,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'hard launch'!"
703,in my bag,in my bag 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,중급,"I heard that and I was like, 'in my bag'!"
704,woke,woke 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,고급,"I heard that and I was like, 'woke'!"
705,big yikes,big yikes 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,중급,"I heard that and I was like, 'big yikes'!"
706,on point,on point 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,중급,"I heard that and I was like, 'on point'!"
707,big yikes,big yikes 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,중급,"I heard that and I was like, 'big yikes'!"
708,thirst trap,thirst trap 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,고급,"I heard that and I was like, 'thirst trap'!"
709,dead,dead 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,중급,"I heard that and I was like, 'dead'!"
710,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'spill the tea'!"
711,it’s giving,it’s giving 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'it’s giving'!"
712,bet,bet 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,초급,"I heard that and I was like, 'bet'!"
713,extra,extra 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'extra'!"
714,thirst trap,thirst trap 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'thirst trap'!"
715,we move,we move 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,중급,"I heard that and I was like, 'we move'!"
716,in my bag,in my bag 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,중급,"I heard that and I was like, 'in my bag'!"
717,fire,fire 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,중급,"I heard that and I was like, 'fire'!"
718,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'highkey'!"
719,read someone,read someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,중급,"I heard that and I was like, 'read someone'!"
720,catch feels,catch feels 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,고급,"I heard that and I was like, 'catch feels'!"
721,that’s wild,that’s wild 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,초급,"I heard that and I was like, 'that’s wild'!"
